depth,strategy,world_size,format,key_bytes,parent_bytes,move_bytes,remote_candidates,remote_only_accepted,accept_bitmap_bytes,remote_only_accept_fraction,eager_bytes,two_phase_bytes,two_phase_reduction_fraction,hybrid_bytes,hybrid_reduction_fraction,hybrid_two_phase_rounds,hybrid_eager_rounds
20,mixed,8,packed_rank32,4,4,1,57786,11046,7666,0.1911535666078289,520074,294040,0.43461891961528554,294032,0.43463430204163256,18,2
20,mixed,8,aligned_rank64,8,8,8,57786,11046,7666,0.1911535666078289,1386864,646690,0.5337033768271437,646682,0.533709145237024,18,2
20,mixed,8,state128_parent128,16,16,4,57786,11046,7666,0.1911535666078289,2080296,1153162,0.4456740771505593,1153154,0.4456779227571461,18,2
28,direct,2,packed_rank16,2,2,1,48622,56,6102,0.001151742009789807,243110,103514,0.5742092057093497,103512,0.5742174324379911,26,2
28,direct,2,packed_rank32,4,4,1,48622,56,6102,0.001151742009789807,437598,200870,0.5409713938363521,200868,0.5409759642411529,26,2
28,direct,2,aligned_rank64,8,8,8,48622,56,6102,0.001151742009789807,1166928,395974,0.6606697242674784,395972,0.6606714381692786,26,2
28,direct,2,state128_parent128,16,16,4,48622,56,6102,0.001151742009789807,1750392,785174,0.5514296226216756,785172,0.5514307652228758,26,2
28,direct,4,packed_rank16,2,2,1,107026,1594,13462,0.014893577261599985,535130,232296,0.5659073496159812,232292,0.5659148244351839,26,2
28,direct,4,packed_rank32,4,4,1,107026,1594,13462,0.014893577261599985,963234,449536,0.5333055103951896,449532,0.5333096630725245,26,2
28,direct,4,aligned_rank64,8,8,8,107026,1594,13462,0.014893577261599985,2568624,895174,0.6514966768199628,895170,0.6514982340739633,26,2
28,direct,4,state128_parent128,16,16,4,107026,1594,13462,0.014893577261599985,3852936,1757758,0.5437873870731307,1757754,0.5437884252424645,26,2
28,direct,8,packed_rank16,2,2,1,123388,2142,15858,0.017359872921191687,616940,269060,0.5638797938211171,269054,0.5638895192401205,26,2
28,direct,8,packed_rank32,4,4,1,123388,2142,15858,0.017359872921191687,1110492,520120,0.5316310248070224,520114,0.53163642781758,26,2
28,direct,8,aligned_rank64,8,8,8,123388,2142,15858,0.017359872921191687,2961312,1037234,0.6497383592137539,1037228,0.649740385342713,26,2
28,direct,8,state128_parent128,16,16,4,123388,2142,15858,0.017359872921191687,4441968,2032906,0.5423411424845924,2032900,0.5423424932372318,26,2
28,mixed,2,packed_rank16,2,2,1,65265,5723,8182,0.08768865394928368,326325,155881,0.522313644372941,155879,0.5223197732322071,26,2
28,mixed,2,packed_rank32,4,4,1,65265,5723,8182,0.08768865394928368,587385,297857,0.49291010155179316,297855,0.49291350647360765,26,2
28,mixed,2,aligned_rank64,8,8,8,65265,5723,8182,0.08768865394928368,1566360,621870,0.6029839883551674,621868,0.6029852652008478,26,2
28,mixed,2,state128_parent128,16,16,4,65265,5723,8182,0.08768865394928368,2349540,1166882,0.5033572529090801,1166880,0.5033581041395336,26,2
28,mixed,4,packed_rank16,2,2,1,136353,18150,17181,0.13311038260984356,681765,344337,0.4949330047743724,344331,0.4949418054608259,26,2
28,mixed,4,packed_rank32,4,4,1,136353,18150,17181,0.13311038260984356,1227177,653343,0.4676049176280195,653337,0.46760980689827136,26,2
28,mixed,4,aligned_rank64,8,8,8,136353,18150,17181,0.13311038260984356,3272472,1398405,0.5726762520809956,1398399,0.5726780855573401,26,2
28,mixed,4,state128_parent128,16,16,4,136353,18150,17181,0.13311038260984356,4908708,2561829,0.4781052366529034,2561823,0.47810645897046633,26,2
28,mixed,8,packed_rank16,2,2,1,188615,29108,24228,0.154324947644673,943075,488782,0.48171460382260156,488772,0.48172520743313096,26,2
28,mixed,8,packed_rank32,4,4,1,188615,29108,24228,0.154324947644673,1697535,924228,0.4555470137581846,924218,0.4555529046529232,26,2
28,mixed,8,aligned_rank64,8,8,8,188615,29108,24228,0.154324947644673,4526760,1998876,0.5584311958221775,1998866,0.5584334049077044,26,2
28,mixed,8,state128_parent128,16,16,4,188615,29108,24228,0.154324947644673,6790140,3624228,0.46625135858759903,3624218,0.4662528313112837,26,2
